# file: hla_nom.txt
# date: 2016-07-14
# version: IPD-IMGT/HLA 3.25.0
# origin: http://hla.alleles.org/wmda/hla_nom.txt
# repository: https://raw.githubusercontent.com/ANHIG/IMGTHLA/Latest/wmda/hla_nom.txt
# author: WHO, Steven G. E. Marsh (steven.marsh@ucl.ac.uk)
B*;46:50;20131228;;;
B*;46:51Q;20131228;;;
B*;46:52;20131228;;;
B*;46:53;20131228;;;
B*;46:54;20131228;;;
B*;46:55N;20131228;;;
B*;46:56;20131228;;;
B*;46:57;20131228;;;
B*;46:58;20140131;;;
B*;46:59;20140528;;;
B*;46:60;20140623;;;
B*;46:61;20140731;;;
B*;46:62;20140731;;;
B*;46:63;20140731;;;
B*;46:64;20150430;;;
B*;46:65;20151231;;;
B*;46:66;20160131;;;
B*;46:67;20160527;;;
B*;46:68;20160630;;;
B*;46:69;20160831;;;
B*;46:70;20160930;;;
B*;46:71;20161031;;;
B*;46:72;20170430;;;
B*;46:73;20171031;;;
B*;47:01:01:01;19890801;;;
B*;47:01:01:02;20010228;;;
B*;47:01:01:03;20150930;;;
B*;47:01:02;20101031;;;
B*;47:01:03;20161231;;;
B*;47:02;19961106;;;
B*;47:03;19971024;;;
B*;47:04;20010531;;;
B*;47:05;20040625;;;
B*;47:06;20100131;;;
B*;47:07;20100222;;;
B*;47:08;20101130;;;
B*;47:09;20131031;;;
B*;47:10;20150131;;;
B*;48:01:01:01;19911114;;;
B*;48:01:01:02;20170430;;;
B*;48:01:02;20070128;;;
B*;48:01:03;20100630;;;
B*;48:01:04;20121031;;;
B*;48:01:05;20131228;;;
B*;48:01:06;20131228;;;
B*;48:02:01;19921211;;;
B*;48:02:02;20091031;;;
B*;48:02:03;20120731;;;
B*;48:03:01;19960408;;;
B*;48:03:02;20061130;;;
B*;48:04:01;19980311;;;
B*;48:04:02;20150529;;;
B*;48:05;19981006;;;
B*;48:06;19990106;;;
B*;48:07;19990430;;;
